no,abbreviation,full_name,address,url
1,DCVFM,DRAGON CAPITAL VIETFUND MANAGEMENT,"Level 15, Melinh Point Building, 2 Ngo Duc Ke, District 1, Ho Chi Minh City, Vietnam",https://vsd.vn/qlqd/2747
2,EIFMC,Eastspring Investments Fund Management Limited Liability Company,"Sai Gon Trade Centre, 37 Ton Duc Thang, District 1, Hochiminh City",https://vsd.vn/qlqd/936
3,KIM,"KIM Vietnam Fund Management Co., Ltd.","Rooms 1807 and 1808, mPlaza Sai Gon Building, No.39 Le Duan, Ben Nghe ward, District 1, Hochiminh City",https://vsd.vn/qlqd/7176
4,MAFM,Mirae Asset (Vietnam) Fund management Company Limited,"Level 38, Keangnam Hanoi Landmark Tower, Area E6, Cau Giay New Urban Area, Me Tri ward, Nam Tu Liem district, Hanoi",https://vsd.vn/qlqd/2794
5,"MVFM Co.,LTD",Công ty TNHH Quản Lý Quỹ MANULIFE Việt Nam,"FL.7, Manulife Plaza Building, 75 Hoang Van Thai, Tan Phu Ward, District 7, Hochiminh City",https://vsd.vn/qlqd/874
6,SSIAM,SSI Asset Management Company Limited,"Level 5, 1C Ngo Quyen, Ly Thai To ward, Hoan Kiem district, Hanoi",https://vsd.vn/qlqd/1874
7,TCC,Techcom Capital Joint Stock Company,"Level 10, 191 Ba Trieu Street, Le Dai Hanh Ward, Hai Ba Trung District, Hanoi",https://vsd.vn/qlqd/2100
8,TVAM,Thien Viet Assets Management Joint Stock Company,"Level 9, Bitexco Nam Long Building, 63A Vo Van Tan, Ward 6, District 3, Ho Chi Minh City",https://vsd.vn/qlqd/2092
9,VCFM,VinaCapital Fund Management Joint Stock Company,"Level 17, Sun Wah Building, 115 Nguyen Hue, district 1, Hochiminh city",https://vsd.vn/qlqd/2766
10,"",ACB Capital Manegement Company Limited,"1st Floor, ACB Building, 444A-446 Cach Mang Thang Tam, Ward 11, Dist 3, Hochiminh City;",https://vsd.vn/qlqd/1380
11,"",I.P.A Securities Investment Fund Management Limited Company,"No. 1 Nguyen Thuong Hien, Hai Ba Trung district, Hanoi",https://vsd.vn/qlqd/6598
12,"",FPT Fund Management Joint Stock Company,"Level 7, 17th floor block, FPT Tower, No. 10, Pham Van Bach street, Dich Vong ward, Cau Giay district, Hanoi city.",https://vsd.vn/qlqd/10108
13,"",BaoViet Fund Management Limited Company,"5th floor, no. 8 Le Thai To, Hang Trong ward, Hoan Kiem district, Hanoi",https://vsd.vn/qlqd/10608
